"","CTRL_1","CTRL_2","CTRL_3","RBM47KD_1","RBM47KD_2","RBM47KD_3"
"ADAMTS1",80.2612515785906,77.3171836177531,67.8045052411904,97.5569272803392,189.895346428843,74.268863593244
"ADAMTS10",4.60944178387104,10.9021055750451,10.1599061522362,9.896449147984,14.6321468728082,4.79918324058646
"ADAMTS12",33.8596370578531,33.8225552459526,18.2302519795553,69.943674861288,16.0693801227301,25.3259345240594
"ADAMTS13",211.483959353886,154.352751480133,156.980107941208,161.478304541004,174.804526344551,160.35259377849
"ADAMTS14",47.6538522348971,36.7745259444709,42.6339490615015,66.8911352185564,45.1547862129225,45.0965212720005
"ADAMTS15",116.068587725903,100.538986718354,126.2335327554,189.376195202555,192.453855928726,128.207015520289
"ADAMTS16",2.05455388099517,2.10216784178512,0,2.20758138087444,1.07756027686889,3.27956642047253
"ADAMTS17",1.45672806637602,6.51634950795531,0,3.1546446614789,1.51268055046416,3.71919651574433
"ADAMTS18",2.3371950331463,0,2.24706034425145,0.833759868971483,6.46146416522387,4.75011248255246
"ADAMTS20",1.68457482238857,3.42878186986915,2.42479178878475,3.50886584509116,1.17550707736139,0.830892061405503
"ADAMTS3",395.32206499926,344.513824150271,317.428738437934,456.107448920127,554.262027586965,510.861990074398
"ADAMTS4",90.2650369694526,86.832013940421,106.542351447417,105.476682095072,100.635555175269,104.066477497234
"ADAMTS6",154.791682547839,87.7239185056527,96.4507709060094,160.824351510079,126.483350227605,116.427312666329
"ADAMTS7",13.5836147383593,1.74619349573841,5.6654374474505,5.64057491967057,3.1740010428817,2.24451313951025
"ADAMTS7P4",4.84724365967073,1.92795007604727,0,3.21736386742289,2.25912719008075,1.86019905742813
"ADAMTS9",1.85070167547627,1.92680142684666,1.94417841856189,0,1.84575519678959,4.0184529687485
